playerShort,player,club,leagueCountry,birthday,height,weight,position,skin_colour,games,victories,ties,defeats,goals,yellowCards,yellowReds,redCards,english,german,french,spanish,birthYear
kaka, Kaká,Real Madrid,Spain,22.04.1982,186.0,78.0,Attacking Midfielder,0.0,496,317,102,77,161,44,2,0,0,0,0,1,1982
kalilou-traore,Kalilou Traoré,FC Sochaux,France,09.09.1987,192.0,76.0,Defensive Midfielder,0.75,109,39,23,47,13,27,2,1,0,0,1,0,1987
kamel-chafni,Kamel Chafni,Stade Brest,France,11.06.1982,181.0,70.0,Left Midfielder,0.25,217,67,54,96,11,40,1,0,0,0,1,0,1982
karim-ait-fana,Karim Aït Fana,Montpellier HSC,France,25.02.1989,175.0,65.0,Left Winger,0.25,111,49,28,34,16,12,1,0,0,0,1,0,1989
karim-bellarabi,Karim Bellarabi,Bayer Leverkusen,Germany,08.04.1990,183.0,76.0,Right Winger,0.5,124,48,30,46,24,15,0,0,0,1,0,0,1990
karim-benzema,Karim Benzema,Real Madrid,Spain,19.12.1987,187.0,79.0,Center Forward,0.125,431,280,81,70,185,10,0,0,0,0,0,1,1987
karim-guede,Karim Guédé,SC Freiburg,Germany,07.01.1985,184.0,85.0,Defensive Midfielder,0.75,117,38,34,45,9,21,2,2,0,1,0,0,1985
karim-haggui,Karim Haggui,Hannover 96,Germany,20.01.1984,190.0,86.0,Center Back,0.25,325,133,82,110,21,54,2,3,0,1,0,0,1984
karim-matmour,Karim Matmour,Eintracht Frankfurt,Germany,25.06.1985,181.0,75.0,Right Winger,0.25,278,117,65,96,28,38,2,0,0,1,0,0,1985
ken-ilsoe,Ken Ilsø,Fortuna Düsseldorf,Germany,02.12.1986,183.0,77.0,Center Forward,0.25,172,62,44,66,34,18,0,0,0,1,0,0,1986
kenwyne-jones,Kenwyne Jones,Stoke City,England,05.10.1984,188.0,78.0,Right Winger,1.0,367,127,82,158,91,16,0,2,1,0,0,0,1984
kevin, Kevin,Real Zaragoza,Spain,13.02.1992,178.0,70.0,Attacking Midfielder,0.0,8,0,2,6,0,2,0,0,0,0,0,1,1992
kevin-de-bruyne,Kevin De Bruyne,Werder Bremen,Germany,28.06.1991,181.0,76.0,Attacking Midfielder,0.0,188,86,40,62,33,13,2,0,0,1,0,0,1991
kevin-gameiro,Kevin Gameiro,Paris Saint-Germain,France,09.05.1987,170.0,64.0,Right Winger,0.0,284,118,84,82,102,7,0,0,0,0,1,0,1987
kevin-grosskreutz,Kevin Großkreutz,Borussia Dortmund,Germany,19.07.1988,186.0,72.0,Left Winger,0.0,315,177,66,72,54,33,0,1,0,1,0,0,1988
kevin-mirallas,Kevin Mirallas,Everton FC,England,05.10.1987,182.0,75.0,Right Winger,0.125,335,154,89,92,79,36,0,2,1,0,0,0,1987
kevin-pannewitz,Kevin Pannewitz,VfL Wolfsburg,Germany,16.10.1991,185.0,90.0,Defensive Midfielder,0.25,132,67,23,42,13,30,1,1,0,1,0,0,1991
kevin-stoeger,Kevin Stöger,VfB Stuttgart,Germany,27.08.1993,175.0,70.0,Attacking Midfielder,0.125,110,44,35,31,12,19,1,0,0,1,0,0,1993
kevin-theophile-catherine,Kévin Théophile-Catherine,Stade Rennes,France,28.10.1989,180.0,77.0,Right Fullback,0.75,134,52,34,48,3,14,0,0,0,0,1,0,1989
kevin-trapp,Kevin Trapp,Eintracht Frankfurt,Germany,08.07.1990,189.0,83.0,Goalkeeper,0.0,174,76,40,58,0,5,0,2,0,1,0,0,1990
kevin-vogt,Kevin Vogt,FC Augsburg,Germany,23.09.1991,194.0,80.0,Defensive Midfielder,0.0,156,67,39,50,7,24,1,2,0,1,0,0,1991
kevin-volland,Kevin Volland,1899 Hoffenheim,Germany,30.07.1992,179.0,74.0,Left Winger,0.25,180,73,40,67,58,25,0,1,0,1,0,0,1992
kevin_2, Kevin,RCD Mallorca,Spain,08.09.1989,176.0,75.0,Left Fullback,0.5,61,20,17,24,2,14,1,0,0,0,0,1,1989
kieran-gibbs,Kieran Gibbs,Arsenal FC,England,26.09.1989,178.0,64.0,Left Fullback,0.5,168,98,35,35,5,14,0,1,1,0,0,0,1989
kieran-richardson,Kieran Richardson,Fulham FC,England,21.10.1984,175.0,69.0,Left Midfielder,0.625,299,121,64,114,37,63,1,0,1,0,0,0,1984
kieron-dyer,Kieron Dyer,Queens Park Rangers,England,29.12.1978,171.0,65.0,Attacking Midfielder,0.25,332,141,75,116,38,7,0,2,1,0,0,0,1978
kiko-casilla, Kiko Casilla,Espanyol Barcelona,Spain,02.10.1986,191.0,84.0,Goalkeeper,0.25,153,50,42,61,0,14,0,3,0,0,0,1,1986
kingsley-onuegbu,Kingsley Onuegbu,SV Sandhausen,Germany,05.03.1986,191.0,94.0,Center Forward,1.0,178,69,42,67,56,5,0,0,0,1,0,0,1986
klaas-jan-huntelaar,Klaas-Jan Huntelaar,FC Schalke 04,Germany,12.08.1983,186.0,78.0,Center Forward,0.125,449,249,86,114,277,43,2,2,0,1,0,0,1983
knowledge-musona,Knowledge Musona,FC Augsburg,Germany,21.06.1990,174.0,68.0,Center Forward,0.75,40,8,10,22,5,4,0,0,0,1,0,0,1990
koen-casteels,Koen Casteels,1899 Hoffenheim,Germany,25.06.1992,196.0,83.0,Goalkeeper,0.25,78,27,20,31,0,3,0,1,0,1,0,0,1992
koke_2, Koke,Atlético Madrid,Spain,08.01.1992,178.0,74.0,Defensive Midfielder,0.25,192,120,34,38,15,28,0,0,0,0,0,1,1992
kolja-pusch,Kolja Pusch,Bayer Leverkusen,Germany,12.02.1993,181.0,76.0,Center Midfielder,0.0,98,55,15,28,22,17,1,0,0,1,0,0,1993
kolo-toure,Kolo Touré,Manchester City,England,19.03.1981,183.0,76.0,Center Back,1.0,518,295,129,94,20,44,2,1,1,0,0,0,1981
konstantin-rausch,Konstantin Rausch,Hannover 96,Germany,15.03.1990,182.0,78.0,Left Midfielder,0.25,225,91,52,82,14,21,0,0,0,1,0,0,1990
koray-guenter,Koray Günter,Borussia Dortmund,Germany,16.08.1994,184.0,79.0,Center Back,0.0,87,40,18,29,5,7,1,1,0,1,0,0,1994
kun-agueero,Kun Agüero,Manchester City,England,02.06.1988,172.0,74.0,Center Forward,0.25,462,246,99,117,225,56,1,3,1,0,0,0,1988
kyle-naughton,Kyle Naughton,Tottenham Hotspur,England,11.11.1988,180.0,73.0,Right Fullback,0.75,217,97,52,68,8,27,0,0,1,0,0,0,1988
kyle-walker,Kyle Walker,Tottenham Hotspur,England,28.05.1990,178.0,73.0,Right Fullback,0.25,226,113,59,54,5,32,0,0,1,0,0,0,1990
kyriakos-papadopoulos,Kyriakos Papadopoulos,FC Schalke 04,Germany,23.02.1992,183.0,85.0,Center Back,0.0,140,75,24,41,13,34,2,1,0,1,0,0,1992
labaka, Labaka,Rayo Vallecano,Spain,10.08.1980,185.0,78.0,Center Back,0.0,175,68,38,69,10,26,1,2,0,0,0,1,1980
lafita, Lafita,Getafe CF,Spain,07.08.1984,188.0,75.0,Right Midfielder,0.125,264,83,69,112,34,42,0,1,0,0,0,1,1984
lamine-gassama,Lamine Gassama,FC Lorient,France,20.10.1989,181.0,74.0,Right Fullback,1.0,74,26,20,28,0,16,1,0,0,0,1,0,1989
landry-nguemo,Landry N'Guémo,Girondins Bordeaux,France,28.11.1985,173.0,70.0,Attacking Midfielder,0.75,267,112,76,79,7,42,2,0,0,0,1,0,1985
lars-bender,Lars Bender,Bayer Leverkusen,Germany,27.04.1989,184.0,77.0,Defensive Midfielder,0.0,277,128,65,84,26,32,1,0,0,1,0,0,1989
lars-stindl,Lars Stindl,Hannover 96,Germany,26.08.1988,180.0,78.0,Attacking Midfielder,0.25,247,96,55,96,39,58,2,0,0,1,0,0,1988
lars-unnerstall,Lars Unnerstall,FC Schalke 04,Germany,20.07.1990,198.0,100.0,Goalkeeper,0.0,129,60,27,42,0,4,0,0,0,1,0,0,1990
larsen-toure,Larsen Touré,Stade Brest,France,20.07.1985,183.0,73.0,Left Winger,0.875,123,38,33,52,13,17,2,0,0,0,1,0,1985
lasse-sobiech,Lasse Sobiech,SpVgg Greuther Fürth,Germany,18.01.1991,196.0,88.0,Center Back,0.0,153,62,32,59,12,10,0,0,0,1,0,0,1991
laure, Laure,Deportivo La Coruña,Spain,22.03.1985,166.0,68.0,Right Fullback,0.25,151,60,36,55,3,41,2,0,0,0,0,1,1985
laurent-bonnart,Laurent Bonnart,Lille OSC,France,25.12.1979,170.0,62.0,Left Fullback,0.25,273,101,89,83,2,15,1,0,0,0,1,0,1979
laurent-koscielny,Laurent Koscielny,Arsenal FC,England,10.09.1985,185.0,75.0,Center Back,0.0,247,135,52,60,20,36,2,3,1,0,0,0,1985
laurent-pionnier,Laurent Pionnier,Montpellier HSC,France,24.05.1982,184.0,76.0,Goalkeeper,0.25,32,12,4,16,0,1,0,0,0,0,1,0,1982
lee-cattermole,Lee Cattermole,Sunderland AFC,England,21.03.1988,178.0,76.0,Defensive Midfielder,0.125,256,85,70,101,9,76,3,4,1,0,0,0,1988
leighton-baines,Leighton Baines,Everton FC,England,11.12.1984,170.0,74.0,Left Fullback,0.25,460,205,118,137,34,52,1,0,1,0,0,0,1984
leo-franco,Leo Franco,Real Zaragoza,Spain,20.05.1977,188.0,79.0,Goalkeeper,0.0,446,184,111,151,0,29,0,4,0,0,0,1,1977
leon-andreasen,Leon Andreasen,Hannover 96,Germany,23.04.1983,188.0,81.0,Defensive Midfielder,0.125,172,84,31,57,22,33,3,2,0,1,0,0,1983
leon-balogun,Leon Balogun,Fortuna Düsseldorf,Germany,28.06.1988,190.0,81.0,Center Back,0.375,154,52,39,63,10,33,0,1,0,1,0,0,1988
leon-barnett,Leon Barnett,Norwich City,England,30.11.1985,186.0,71.0,Center Back,1.0,256,95,60,101,13,37,3,2,1,0,0,0,1985
leon-osman,Leon Osman,Everton FC,England,17.05.1981,172.0,68.0,Right Midfielder,0.0,406,184,101,121,56,42,0,0,1,0,0,0,1981
levent-aycicek,Levent Aycicek,Werder Bremen,Germany,12.02.1994,169.0,67.0,Attacking Midfielder,0.25,45,26,6,13,11,4,0,0,0,1,0,0,1994
lewis-holtby,Lewis Holtby,FC Schalke 04,Germany,18.09.1990,176.0,72.0,Attacking Midfielder,0.0,253,125,52,76,54,25,0,0,0,1,0,0,1990
liam-ridgewell,Liam Ridgewell,West Bromwich Albion,England,21.07.1984,177.0,64.0,Center Back,0.0,345,115,105,125,20,58,0,2,1,0,0,0,1984
liassine-cadamuro,Liassine Cadamuro,Real Sociedad,Spain,05.03.1988,188.0,81.0,Center Back,0.375,44,11,16,17,0,15,0,0,0,0,0,1,1988
lionel-cappone,Lionel Cappone,Stade Brest,France,08.02.1979,182.0,74.0,Goalkeeper,0.25,45,14,15,16,0,1,0,2,0,0,1,0,1979
lionel-messi,Lionel Messi,FC Barcelona,Spain,24.06.1987,169.0,67.0,Right Winger,0.0,497,337,96,64,386,40,0,1,0,0,0,1,1987
lisandro-lopez,Lisandro López,Olympique Lyon,France,02.03.1983,175.0,72.0,Center Forward,0.125,324,172,79,73,152,33,0,1,0,0,1,0,1983
lkay-guendogan,İlkay Gündoğan,Borussia Dortmund,Germany,24.10.1990,180.0,79.0,Attacking Midfielder,0.25,168,94,30,44,31,12,0,0,0,1,0,0,1990
llorente, Llorente,Athletic Bilbao,Spain,26.02.1985,195.0,94.0,Center Forward,0.0,379,161,81,137,131,21,0,0,0,0,0,1,1985
llorente_3, Llorente,CA Osasuna,Spain,24.11.1979,185.0,72.0,Center Forward,0.0,205,77,46,82,56,38,3,1,0,0,0,1,1979
loic-remy,Loïc Rémy,Olympique Marseille,France,02.01.1987,184.0,66.0,Right Winger,0.625,259,104,73,82,89,14,0,3,0,0,1,0,1987
lolo_3, Lolo,CA Osasuna,Spain,22.08.1984,182.0,72.0,Center Back,0.375,167,63,38,66,9,32,1,1,0,0,0,1,1984
loris-karius,Loris Karius,1. FSV Mainz 05,Germany,22.06.1993,189.0,75.0,Goalkeeper,0.0,50,21,10,19,0,1,0,0,0,1,0,0,1993
louis-saha,Louis Saha,Sunderland AFC,England,08.08.1978,184.0,75.0,Center Forward,1.0,441,201,116,124,122,20,0,1,1,0,0,0,1978
lucas-leiva, Lucas Leiva,Liverpool FC,England,09.01.1987,179.0,74.0,Center Midfielder,0.25,286,159,60,67,11,49,2,2,1,0,0,0,1987
lucas-mendes, Lucas Mendes,Olympique Marseille,France,03.07.1990,183.0,81.0,Left Fullback,0.25,98,37,22,39,5,15,0,1,0,0,1,0,1990
lucas-piazon, Lucas Piazon,Chelsea FC,England,20.01.1994,182.0,75.0,Left Winger,0.25,54,25,13,16,12,5,0,0,1,0,0,0,1994
lucas-wilchez,Lucas Wilchez,Real Zaragoza,Spain,31.08.1983,177.0,72.0,Attacking Midfielder,0.375,144,65,32,47,10,21,1,2,0,0,0,1,1983
lucena, Lucena,Granada CF,Spain,18.11.1982,186.0,81.0,Defensive Midfielder,0.0,43,17,10,16,1,5,0,0,0,0,0,1,1982
luciano-monzon,Luciano Monzón,Olympique Lyon,France,13.04.1987,178.0,78.0,Left Fullback,0.25,160,64,42,54,13,21,1,1,0,0,1,0,1987
ludovic-giuly,Ludovic Giuly,FC Lorient,France,10.07.1976,164.0,62.0,Right Winger,0.25,603,294,151,158,133,45,0,3,0,0,1,0,1976
ludovic-obraniak,Ludovic Obraniak,Girondins Bordeaux,France,10.11.1984,171.0,68.0,Attacking Midfielder,0.25,379,144,117,118,48,48,0,4,0,0,1,0,1984
luis-suarez_5,Luis Suárez,Liverpool FC,England,24.01.1987,182.0,81.0,Right Winger,0.125,397,209,87,101,234,84,0,2,1,0,0,0,1987
luiz-gustavo, Luiz Gustavo,Bayern München,Germany,23.07.1987,187.0,80.0,Defensive Midfielder,0.75,258,159,44,55,13,63,6,1,0,1,0,0,1987
luka-modric,Luka Modrić,Real Madrid,Spain,09.09.1985,174.0,65.0,Attacking Midfielder,0.0,352,189,80,83,34,41,0,0,0,0,0,1,1985
lukas-podolski,Lukas Podolski,Arsenal FC,England,04.06.1985,180.0,80.0,Center Forward,0.0,474,234,98,142,186,56,1,2,1,0,0,0,1985
lukas-raeder,Lukas Raeder,Bayern München,Germany,30.12.1993,194.0,86.0,Goalkeeper,0.125,77,57,9,11,0,3,0,0,0,1,0,0,1993
lukas-rupp,Lukas Rupp,Bor. Mönchengladbach,Germany,08.01.1991,178.0,73.0,Right Winger,0.25,151,65,42,44,23,9,1,0,0,1,0,0,1991
lukas-schmitz,Lukas Schmitz,Werder Bremen,Germany,13.10.1988,184.0,80.0,Left Fullback,0.375,167,71,41,55,7,26,2,1,0,1,0,0,1988
lukasz-fabianski,Łukasz Fabiański,Arsenal FC,England,18.04.1985,190.0,84.0,Goalkeeper,0.0,104,60,15,29,0,1,0,0,1,0,0,0,1985
lukasz-piszczek,Łukasz Piszczek,Borussia Dortmund,Germany,03.06.1985,184.0,78.0,Right Fullback,0.0,286,137,67,82,23,10,0,0,0,1,0,0,1985
luke-young,Luke Young,Queens Park Rangers,England,19.07.1979,183.0,78.0,Right Fullback,0.25,449,165,113,171,9,67,0,0,1,0,0,0,1979
luna, Luna,Sevilla FC,Spain,17.03.1991,177.0,68.0,Left Fullback,0.375,76,26,13,37,3,15,2,1,0,0,0,1,1991
luuk-de-jong,Luuk de Jong,Bor. Mönchengladbach,Germany,27.08.1990,188.0,86.0,Center Forward,0.0,197,92,40,65,64,14,0,0,0,1,0,0,1990
mahamadou-diarra,Mahamadou Diarra,Fulham FC,England,18.05.1981,183.0,76.0,Defensive Midfielder,1.0,413,227,97,89,29,74,3,0,1,0,0,0,1981
maicon, Maicon,Manchester City,England,26.07.1981,184.0,77.0,Right Fullback,0.75,432,256,99,77,38,70,2,2,1,0,0,0,1981
mainz, Mainz,Granada CF,Spain,29.12.1982,187.0,80.0,Center Back,0.125,158,50,40,68,6,32,1,1,0,0,0,1,1982
makoto-hasebe,Makoto Hasebe,VfL Wolfsburg,Germany,18.01.1984,180.0,72.0,Right Midfielder,0.25,245,111,62,72,8,26,1,2,0,1,0,0,1984
mamadou-sakho,Mamadou Sakho,Paris Saint-Germain,France,13.02.1990,187.0,82.0,Center Back,1.0,216,104,61,51,11,23,0,4,0,0,1,0,1990
mame-diouf,Mame Diouf,Hannover 96,Germany,16.12.1987,185.0,79.0,Left Winger,1.0,169,70,36,63,65,21,1,1,0,1,0,0,1987
mane, Mané,Getafe CF,Spain,21.12.1981,175.0,72.0,Left Fullback,0.375,198,75,43,80,5,50,0,1,0,0,0,1,1981
manu-del-moral, Manu del Moral,Sevilla FC,Spain,25.02.1984,185.0,77.0,Center Forward,0.125,283,103,70,110,53,26,0,2,0,0,0,1,1984
manucho, Manucho,Real Valladolid,Spain,07.03.1983,187.0,83.0,Center Forward,1.0,171,52,59,60,35,16,2,0,0,0,0,1,1983
manuel-friedrich,Manuel Friedrich,Bayer Leverkusen,Germany,13.09.1979,189.0,87.0,Center Back,0.0,421,194,99,128,35,56,1,0,0,1,0,0,1979
manuel-iturra,Manuel Iturra,Málaga CF,Spain,23.06.1984,174.0,65.0,Defensive Midfielder,0.0,239,90,56,93,8,68,5,4,0,0,0,1,1984
manuel-neuer,Manuel Neuer,Bayern München,Germany,27.03.1986,193.0,92.0,Goalkeeper,0.25,424,273,70,81,0,12,0,0,0,1,0,0,1986
manuel-pablo, Manuel Pablo,Deportivo La Coruña,Spain,25.01.1976,176.0,80.0,Right Fullback,0.375,438,196,104,138,2,50,1,1,0,0,0,1,1976
manuel-schmiedebach,Manuel Schmiedebach,Hannover 96,Germany,05.12.1988,170.0,70.0,Defensive Midfielder,0.25,236,105,44,87,17,40,1,1,0,1,0,0,1988
mapou-yanga-mbiwa,Mapou Yanga-Mbiwa,Montpellier HSC,France,15.05.1989,184.0,77.0,Center Back,0.875,213,97,49,67,4,37,3,1,0,0,1,0,1989
marc-andre-ter-stegen,Marc-André ter Stegen,Bor. Mönchengladbach,Germany,30.04.1992,189.0,85.0,Goalkeeper,0.125,177,85,45,47,0,10,0,0,0,1,0,0,1992
marc-antoine-fortune,Marc-Antoine Fortuné,West Bromwich Albion,England,02.07.1981,182.0,81.0,Center Forward,0.875,333,132,88,113,56,8,0,1,1,0,0,0,1981
marc-bertran, Marc Bertrán,CA Osasuna,Spain,22.05.1982,181.0,78.0,Right Fullback,0.0,191,61,53,77,3,43,1,1,0,0,0,1,1982
marc-hornschuh,Marc Hornschuh,Borussia Dortmund,Germany,02.03.1991,188.0,76.0,Center Back,0.125,169,76,39,54,6,13,0,1,0,1,0,0,1991
marc-planus,Marc Planus,Girondins Bordeaux,France,07.03.1982,183.0,76.0,Center Back,0.25,337,154,105,78,6,56,0,7,0,0,1,0,1982
marc-stendera,Marc Stendera,Eintracht Frankfurt,Germany,10.12.1995,171.0,64.0,Attacking Midfielder,0.0,37,16,6,15,11,9,0,0,0,1,0,0,1995
marc-valiente, Marc Valiente,Real Valladolid,Spain,29.03.1987,184.0,71.0,Center Back,0.25,165,54,52,59,4,28,1,1,0,0,0,1,1987
marc-wilson,Marc Wilson,Stoke City,England,17.08.1987,188.0,80.0,Center Back,0.125,200,71,48,81,2,34,0,1,1,0,0,0,1987
marc-ziegler,Marc Ziegler,VfB Stuttgart,Germany,13.06.1976,194.0,85.0,Goalkeeper,0.125,185,75,46,64,0,6,0,0,0,1,0,0,1976
marcel-de-jong,Marcel de Jong,FC Augsburg,Germany,15.10.1986,174.0,73.0,Left Fullback,0.0,217,74,60,83,9,37,1,0,0,1,0,0,1986
marcel-halstenberg,Marcel Halstenberg,Borussia Dortmund,Germany,27.09.1991,186.0,82.0,Center Back,0.0,167,76,36,55,11,24,1,1,0,1,0,0,1991
marcel-schaefer,Marcel Schäfer,VfL Wolfsburg,Germany,07.06.1984,184.0,75.0,Left Fullback,0.25,366,163,79,124,22,23,1,0,0,1,0,0,1984
marcel-schmelzer,Marcel Schmelzer,Borussia Dortmund,Germany,22.01.1988,181.0,74.0,Left Fullback,0.0,261,149,60,52,4,31,1,1,0,1,0,0,1988
marcell-jansen,Marcell Jansen,Hamburger SV,Germany,04.11.1985,191.0,89.0,Left Midfielder,0.0,327,145,76,106,30,32,0,0,0,1,0,0,1985
marcelo_5, Marcelo,CF Badalona,Spain,08.10.1993,192.0,81.0,Center Back,0.5,25,12,5,8,0,7,0,1,0,0,0,1,1993
marchena, Marchena,Deportivo La Coruña,Spain,31.07.1979,183.0,78.0,Center Back,0.375,509,250,130,129,20,144,10,4,0,0,0,1,1979
marco-caligiuri,Marco Caligiuri,1. FSV Mainz 05,Germany,14.04.1984,180.0,75.0,Defensive Midfielder,0.25,240,86,63,91,13,25,0,0,0,1,0,0,1984
marco-estrada,Marco Estrada,Montpellier HSC,France,28.05.1983,175.0,71.0,Defensive Midfielder,0.125,201,109,32,60,20,55,1,1,0,0,1,0,1983
marco-hoeger,Marco Höger,FC Schalke 04,Germany,16.09.1989,186.0,78.0,Defensive Midfielder,0.0,134,71,28,35,16,23,0,0,0,1,0,0,1989
marco-reus,Marco Reus,Borussia Dortmund,Germany,31.05.1989,180.0,67.0,Left Winger,0.0,270,126,60,84,98,35,0,0,0,1,0,0,1989
marco-russ,Marco Russ,VfL Wolfsburg,Germany,04.08.1985,190.0,75.0,Center Back,0.0,252,91,67,94,19,53,1,1,0,1,0,0,1985
marco-terrazzino,Marco Terrazzino,SC Freiburg,Germany,15.04.1991,176.0,74.0,Center Forward,0.25,118,38,28,52,21,8,0,0,0,1,0,0,1991
marco-verratti,Marco Verratti,Paris Saint-Germain,France,05.11.1992,165.0,60.0,Attacking Midfielder,0.25,144,86,28,30,2,40,4,1,0,0,1,0,1992
marcos-antonio, Marcos António,1. FC Nürnberg,Germany,25.05.1983,187.0,87.0,Center Back,0.5,137,53,41,43,3,25,0,0,0,1,0,0,1983
marcus-berg,Marcus Berg,Hamburger SV,Germany,17.08.1986,184.0,76.0,Center Forward,0.25,241,119,52,70,94,26,0,1,0,1,0,0,1986
marek-grosse,Marek Große,Hannover 96,Germany,11.04.1994,186.0,83.0,Goalkeeper,0.0,9,3,0,6,0,1,0,0,0,1,0,0,1994
mariano_5, Mariano,Girondins Bordeaux,France,23.06.1986,177.0,69.0,Right Fullback,0.75,252,118,65,69,8,38,0,1,0,0,1,0,1986
mario, Mario,Real Betis,Spain,02.02.1982,178.0,75.0,Center Back,0.5,160,63,33,64,3,30,5,1,0,0,0,1,1982
mario-balotelli,Mario Balotelli,Manchester City,England,12.08.1990,189.0,88.0,Center Forward,1.0,253,136,63,54,101,76,5,3,1,0,0,0,1990
mario-eggimann,Mario Eggimann,Hannover 96,Germany,24.01.1981,189.0,84.0,Center Back,0.0,328,139,70,119,23,46,1,0,0,1,0,0,1981
mario-goetze,Mario Götze,Borussia Dortmund,Germany,03.06.1992,176.0,64.0,Attacking Midfielder,0.25,213,140,41,32,67,10,0,1,0,1,0,0,1992
mario-gomez,Mario Gómez,Bayern München,Germany,10.07.1985,189.0,88.0,Center Forward,0.25,453,254,86,113,251,36,1,0,0,1,0,0,1985
mario-mandzukic,Mario Mandžukić,Bayern München,Germany,21.05.1986,187.0,84.0,Center Forward,0.25,282,162,53,67,122,52,1,1,0,1,0,0,1986
mario-suarez, Mario Suárez,Atlético Madrid,Spain,24.02.1987,188.0,80.0,Defensive Midfielder,0.375,221,122,45,54,10,61,2,0,0,0,0,1,1987
mark-noble,Mark Noble,West Ham United,England,08.05.1987,180.0,70.0,Defensive Midfielder,0.125,318,129,71,118,37,61,3,0,1,0,0,0,1987
mark-schwarzer,Mark Schwarzer,Fulham FC,England,06.10.1972,194.0,85.0,Goalkeeper,0.25,718,277,183,258,0,12,0,1,1,0,0,0,1972
markel-bergara, Markel Bergara,Real Sociedad,Spain,05.05.1986,181.0,78.0,Defensive Midfielder,0.0,140,67,31,42,1,32,3,1,0,0,0,1,1986
marko-arnautovic,Marko Arnautović,Werder Bremen,Germany,19.04.1989,192.0,83.0,Right Winger,0.125,213,79,51,83,44,26,2,2,0,1,0,0,1989
marko-basa,Marko Baša,Lille OSC,France,29.12.1982,189.0,75.0,Center Back,0.25,288,127,90,71,21,30,2,2,0,0,1,0,1982
marko-marin,Marko Marin,Chelsea FC,England,13.03.1989,170.0,63.0,Attacking Midfielder,0.125,276,119,70,87,33,28,0,0,1,0,0,0,1989
markus-feulner,Markus Feulner,1. FC Nürnberg,Germany,12.02.1982,181.0,82.0,Attacking Midfielder,0.125,300,124,73,103,41,52,0,1,0,1,0,0,1982
markus-miller,Markus Miller,Hannover 96,Germany,08.04.1982,189.0,92.0,Goalkeeper,0.25,228,89,50,89,0,6,0,0,0,1,0,0,1982
markus-rosenberg,Markus Rosenberg,West Bromwich Albion,England,27.09.1982,185.0,76.0,Center Forward,0.25,337,147,69,121,90,36,1,0,1,0,0,0,1982
marouane-chamakh,Marouane Chamakh,Arsenal FC,England,10.01.1984,185.0,70.0,Center Forward,0.25,398,174,105,119,95,63,2,2,1,0,0,0,1984
marouane-fellaini,Marouane Fellaini,Everton FC,England,22.11.1987,194.0,85.0,Defensive Midfielder,0.25,324,147,93,84,51,81,4,2,1,0,0,0,1987
marti, Martí,RCD Mallorca,Spain,28.04.1975,180.0,76.0,Defensive Midfielder,0.25,413,179,86,148,11,93,1,1,0,0,0,1,1975
martin-amedick,Martin Amedick,Eintracht Frankfurt,Germany,06.09.1982,194.0,85.0,Center Back,0.0,247,113,50,84,15,19,1,0,0,1,0,0,1982
martin-demichelis,Martín Demichelis,Málaga CF,Spain,20.12.1980,184.0,80.0,Center Back,0.25,461,270,95,96,31,102,2,5,0,0,0,1,1980
martin-harnik,Martin Harnik,VfB Stuttgart,Germany,10.06.1987,185.0,73.0,Center Forward,0.0,325,130,69,126,96,38,3,0,0,1,0,0,1987
martin-kelly,Martin Kelly,Liverpool FC,England,27.04.1990,191.0,77.0,Center Back,0.125,73,41,15,17,3,6,0,0,1,0,0,0,1990
martin-lanig,Martin Lanig,Eintracht Frankfurt,Germany,11.07.1984,190.0,79.0,Defensive Midfielder,0.0,275,125,51,99,30,69,2,0,0,1,0,0,1984
martin-montoya, Martín Montoya,FC Barcelona,Spain,14.04.1991,174.0,74.0,Right Fullback,0.375,129,80,23,26,3,17,0,0,0,0,0,1,1991
martin-skrtel,Martin Škrtel,Liverpool FC,England,15.12.1984,191.0,81.0,Center Back,0.0,347,165,84,98,22,69,1,1,1,0,0,0,1984
martin-stranzl,Martin Stranzl,Bor. Mönchengladbach,Germany,16.06.1980,190.0,83.0,Center Back,0.25,435,178,112,145,22,70,4,5,0,1,0,0,1980
marvin-compper,Marvin Compper,1899 Hoffenheim,Germany,14.06.1985,185.0,75.0,Center Back,0.5,241,101,56,84,8,33,2,2,0,1,0,0,1985
marvin-ducksch,Marvin Ducksch,Borussia Dortmund,Germany,07.03.1994,188.0,75.0,Center Forward,0.0,97,48,20,29,41,12,0,0,0,1,0,0,1994
marvin-martin,Marvin Martin,Lille OSC,France,10.01.1988,171.0,63.0,Attacking Midfielder,0.25,213,83,52,78,10,35,0,0,0,0,1,0,1988
marvin-plattenhardt,Marvin Plattenhardt,1. FC Nürnberg,Germany,26.01.1992,181.0,76.0,Left Fullback,0.125,136,48,36,52,5,23,0,0,0,1,0,0,1992
marwin-hitz,Marwin Hitz,VfL Wolfsburg,Germany,18.09.1987,192.0,89.0,Goalkeeper,0.25,89,54,16,19,0,2,0,3,0,1,0,0,1987
masoud-shojaei,Masoud Shojaei,CA Osasuna,Spain,09.06.1984,184.0,73.0,Attacking Midfielder,0.25,170,60,43,67,18,29,2,0,0,0,0,1,1984
mata, Mata,Chelsea FC,England,28.04.1988,170.0,61.0,Attacking Midfielder,0.0,369,203,77,89,94,31,0,0,1,0,0,0,1988
